k,g,s,cv,npf
10.0,0.3,0.0,0.0,1.593892
10.0,0.3,0.0,0.01,1.594888
10.0,0.3,0.0,0.1,1.608624
10.0,0.3,0.0,0.5,1.90586
10.0,0.3,0.0,1.0,1.930232
10.0,0.3,0.01,0.0,1.5721
10.0,0.3,0.01,0.01,1.57334
10.0,0.3,0.01,0.1,1.589764
10.0,0.3,0.01,0.5,1.902944
10.0,0.3,0.01,1.0,1.929688
10.0,0.3,0.1,0.0,1.352576
10.0,0.3,0.1,0.01,1.350184
10.0,0.3,0.1,0.1,1.376628
10.0,0.3,0.1,0.5,1.882864
10.0,0.3,0.1,1.0,1.920944
10.0,0.3,0.5,0.0,0.625744
10.0,0.3,0.5,0.01,0.62788
10.0,0.3,0.5,0.1,0.635604
10.0,0.3,0.5,0.5,1.564576
10.0,0.3,0.5,1.0,1.857584
10.0,0.3,1.0,0.0,0.492996
10.0,0.3,1.0,0.01,0.494116
10.0,0.3,1.0,0.1,0.495372
10.0,0.3,1.0,0.5,0.694748
10.0,0.3,1.0,1.0,1.583952
10.0,0.4,0.0,0.0,1.463428
10.0,0.4,0.0,0.01,1.464264
10.0,0.4,0.0,0.1,1.476412
10.0,0.4,0.0,0.5,1.800568
10.0,0.4,0.0,1.0,1.839056
10.0,0.4,0.01,0.0,1.447484
10.0,0.4,0.01,0.01,1.447552
10.0,0.4,0.01,0.1,1.461008
10.0,0.4,0.01,0.5,1.798728
10.0,0.4,0.01,1.0,1.836884
10.0,0.4,0.1,0.0,1.257748
10.0,0.4,0.1,0.01,1.26004
10.0,0.4,0.1,0.1,1.280284
10.0,0.4,0.1,0.5,1.772336
10.0,0.4,0.1,1.0,1.828036
10.0,0.4,0.5,0.0,0.728008
10.0,0.4,0.5,0.01,0.727828
10.0,0.4,0.5,0.1,0.735452
10.0,0.4,0.5,0.5,1.44518
10.0,0.4,0.5,1.0,1.747024
10.0,0.4,1.0,0.0,0.624772
10.0,0.4,1.0,0.01,0.624576
10.0,0.4,1.0,0.1,0.628136
10.0,0.4,1.0,0.5,0.774056
10.0,0.4,1.0,1.0,1.468916
10.0,0.5,0.0,0.0,1.351316
10.0,0.5,0.0,0.01,1.350932
10.0,0.5,0.0,0.1,1.366148
10.0,0.5,0.0,0.5,1.666944
10.0,0.5,0.0,1.0,1.710852
10.0,0.5,0.01,0.0,1.338548
10.0,0.5,0.01,0.01,1.33856
10.0,0.5,0.01,0.1,1.350736
10.0,0.5,0.01,0.5,1.664676
10.0,0.5,0.01,1.0,1.710992
10.0,0.5,0.1,0.0,1.190692
10.0,0.5,0.1,0.01,1.192424
10.0,0.5,0.1,0.1,1.208752
10.0,0.5,0.1,0.5,1.636668
10.0,0.5,0.1,1.0,1.698348
10.0,0.5,0.5,0.0,0.805204
10.0,0.5,0.5,0.01,0.80516
10.0,0.5,0.5,0.1,0.810904
10.0,0.5,0.5,0.5,1.343912
10.0,0.5,0.5,1.0,1.616116
10.0,0.5,1.0,0.0,0.728196
10.0,0.5,1.0,0.01,0.72974
10.0,0.5,1.0,0.1,0.729156
10.0,0.5,1.0,0.5,0.838192
10.0,0.5,1.0,1.0,1.371428
10.0,0.6,0.0,0.0,1.254496
10.0,0.6,0.0,0.01,1.255584
10.0,0.6,0.0,0.1,1.263268
10.0,0.6,0.0,0.5,1.509736
10.0,0.6,0.0,1.0,1.549928
10.0,0.6,0.01,0.0,1.244372
10.0,0.6,0.01,0.01,1.24422
10.0,0.6,0.01,0.1,1.255736
10.0,0.6,0.01,0.5,1.50624
10.0,0.6,0.01,1.0,1.549716
10.0,0.6,0.1,0.0,1.13884
10.0,0.6,0.1,0.01,1.135988
10.0,0.6,0.1,0.1,1.151912
10.0,0.6,0.1,0.5,1.48262
10.0,0.6,0.1,1.0,1.542568
10.0,0.6,0.5,0.0,0.862816
10.0,0.6,0.5,0.01,0.86256
10.0,0.6,0.5,0.1,0.86832
10.0,0.6,0.5,0.5,1.255284
10.0,0.6,0.5,1.0,1.47124
10.0,0.6,1.0,0.0,0.805244
