k,g,s,cv,npf
10.0,0.25,0.0,0.0,1.666728
10.0,0.25,0.0,0.01,1.667888
10.0,0.25,0.0,0.1,1.681748
10.0,0.25,0.0,0.5,1.94402
10.0,0.25,0.0,1.0,1.960248
10.0,0.25,0.01,0.0,1.648372
10.0,0.25,0.01,0.01,1.647112
10.0,0.25,0.01,0.1,1.665188
10.0,0.25,0.01,0.5,1.942448
10.0,0.25,0.01,1.0,1.96002
10.0,0.25,0.1,0.0,1.415776
10.0,0.25,0.1,0.01,1.41148
10.0,0.25,0.1,0.1,1.443064
10.0,0.25,0.1,0.5,1.92686
10.0,0.25,0.1,1.0,1.954304
10.0,0.25,0.5,0.0,0.562524
10.0,0.25,0.5,0.01,0.564836
10.0,0.25,0.5,0.1,0.574364
10.0,0.25,0.5,0.5,1.63522
10.0,0.25,0.5,1.0,1.90408
10.0,0.25,1.0,0.0,0.414744
10.0,0.25,1.0,0.01,0.414828
10.0,0.25,1.0,0.1,0.414044
10.0,0.25,1.0,0.5,0.643272
10.0,0.25,1.0,1.0,1.648584
10.0,0.5,0.0,0.0,1.352824
10.0,0.5,0.0,0.01,1.35174
10.0,0.5,0.0,0.1,1.366192
10.0,0.5,0.0,0.5,1.665416
10.0,0.5,0.0,1.0,1.710076
10.0,0.5,0.01,0.0,1.336688
10.0,0.5,0.01,0.01,1.336524
10.0,0.5,0.01,0.1,1.35084
10.0,0.5,0.01,0.5,1.664824
10.0,0.5,0.01,1.0,1.709404
10.0,0.5,0.1,0.0,1.192216
10.0,0.5,0.1,0.01,1.193424
10.0,0.5,0.1,0.1,1.207188
10.0,0.5,0.1,0.5,1.634772
10.0,0.5,0.1,1.0,1.698316
10.0,0.5,0.5,0.0,0.803808
10.0,0.5,0.5,0.01,0.80366
10.0,0.5,0.5,0.1,0.807624
10.0,0.5,0.5,0.5,1.34408
10.0,0.5,0.5,1.0,1.615336
10.0,0.5,1.0,0.0,0.72688
10.0,0.5,1.0,0.01,0.729168
10.0,0.5,1.0,0.1,0.728032
10.0,0.5,1.0,0.5,0.8408
10.0,0.5,1.0,1.0,1.37218
10.0,0.75,0.0,0.0,1.132884
10.0,0.75,0.0,0.01,1.13302
10.0,0.75,0.0,0.1,1.138148
10.0,0.75,0.0,0.5,1.245584
10.0,0.75,0.0,1.0,1.262808
10.0,0.75,0.01,0.0,1.126224
10.0,0.75,0.01,0.01,1.126384
10.0,0.75,0.01,0.1,1.1347
10.0,0.75,0.01,0.5,1.245628
10.0,0.75,0.01,1.0,1.260536
10.0,0.75,0.1,0.0,1.07114
10.0,0.75,0.1,0.01,1.073492
10.0,0.75,0.1,0.1,1.079928
10.0,0.75,0.1,0.5,1.240076
10.0,0.75,0.1,1.0,1.260012
10.0,0.75,0.5,0.0,0.928228
10.0,0.75,0.5,0.01,0.927036
10.0,0.75,0.5,0.1,0.9307
10.0,0.75,0.5,0.5,1.13118
10.0,0.75,0.5,1.0,1.238956
10.0,0.75,1.0,0.0,0.893952
10.0,0.75,1.0,0.01,0.89724
10.0,0.75,1.0,0.1,0.89664
10.0,0.75,1.0,0.5,0.944352
10.0,0.75,1.0,1.0,1.151012
10.0,0.95,0.0,0.0,1.002612
10.0,0.95,0.0,0.01,0.99706
10.0,0.95,0.0,0.1,0.998908
10.0,0.95,0.0,0.5,0.865548
10.0,0.95,0.0,1.0,0.80242
10.0,0.95,0.01,0.0,1.000888
10.0,0.95,0.01,0.01,1.001776
10.0,0.95,0.01,0.1,0.998696
10.0,0.95,0.01,0.5,0.868676
10.0,0.95,0.01,1.0,0.804888
10.0,0.95,0.1,0.0,1.000684
10.0,0.95,0.1,0.01,1.006692
10.0,0.95,0.1,0.1,1.003756
10.0,0.95,0.1,0.5,0.895324
10.0,0.95,0.1,1.0,0.82048
10.0,0.95,0.5,0.0,0.988452
10.0,0.95,0.5,0.01,0.988824
10.0,0.95,0.5,0.1,0.988468
10.0,0.95,0.5,0.5,0.98094
10.0,0.95,0.5,1.0,0.883192
10.0,0.95,1.0,0.0,0.984444
10.0,0.95,1.0,0.01,0.984284
10.0,0.95,1.0,0.1,0.984048
10.0,0.95,1.0,0.5,0.990508
10.0,0.95,1.0,1.0,0.947276
100.0,0.25,0.0,0.0,1.727792
100.0,0.25,0.0,0.01,1.730036
100.0,0.25,0.0,0.1,1.842228
100.0,0.25,0.0,0.5,1.999952
100.0,0.25,0.0,1.0,1.999996
100.0,0.25,0.01,0.0,1.530368
100.0,0.25,0.01,0.01,1.532448
100.0,0.25,0.01,0.1,1.746912
100.0,0.25,0.01,0.5,1.999948
100.0,0.25,0.01,1.0,2.0
100.0,0.25,0.1,0.0,0.499252
100.0,0.25,0.1,0.01,0.504332
100.0,0.25,0.1,0.1,0.628792
100.0,0.25,0.1,0.5,1.999828
100.0,0.25,0.1,1.0,1.999972
100.0,0.25,0.5,0.0,0.379148
100.0,0.25,0.5,0.01,0.379356
100.0,0.25,0.5,0.1,0.381564
100.0,0.25,0.5,0.5,1.938116
100.0,0.25,0.5,1.0,1.99988
100.0,0.25,1.0,0.0,0.352412
100.0,0.25,1.0,0.01,0.352344
100.0,0.25,1.0,0.1,0.352676
100.0,0.25,1.0,0.5,0.568976
100.0,0.25,1.0,1.0,1.992816
100.0,0.5,0.0,0.0,1.413068
100.0,0.5,0.0,0.01,1.413032
100.0,0.5,0.0,0.1,1.531524
100.0,0.5,0.0,0.5,1.96952
100.0,0.5,0.0,1.0,1.984324
100.0,0.5,0.01,0.0,1.277004
100.0,0.5,0.01,0.01,1.280708
100.0,0.5,0.01,0.1,1.44656
100.0,0.5,0.01,0.5,1.968784
100.0,0.5,0.01,1.0,1.983692
100.0,0.5,0.1,0.0,0.802504
