Control,K,g,s,cv,NPfix
neutral,2.0,1.0,0.0,0.1,0.814992
neutral,4.0,1.0,0.0,0.1,0.916248
neutral,10.0,1.0,0.0,0.1,0.964628
neutral,21.0,1.0,0.0,0.1,1.029384
neutral,46.0,1.0,0.0,0.1,0.99058
neutral,100.0,1.0,0.0,0.1,0.992376
neutral,215.0,1.0,0.0,0.1,0.998624
neutral,464.0,1.0,0.0,0.1,0.997516
neutral,1000.0,1.0,0.0,0.1,0.998768
negative,2.0,0.6,0.0,0.0,0.434044
negative,4.0,0.6,0.0,0.0,0.399416
negative,10.0,0.6,0.0,0.0,0.197896
negative,21.0,0.6,0.0,0.0,0.07298
negative,46.0,0.6,0.0,0.0,0.007616
negative,100.0,0.6,0.0,0.0,0.000264
negative,215.0,0.6,0.0,0.0,0.0
negative,464.0,0.6,0.0,0.0,0.0
negative,1000.0,0.6,0.0,0.0,0.0
positive,2.0,0.6,0.0,0.3,1.048372
positive,4.0,0.6,0.0,0.3,1.253992
positive,10.0,0.6,0.0,0.3,1.444492
positive,21.0,0.6,0.0,0.3,1.620856
positive,46.0,0.6,0.0,0.3,1.717984
positive,100.0,0.6,0.0,0.3,1.81958
positive,215.0,0.6,0.0,0.3,1.893928
positive,464.0,0.6,0.0,0.3,1.94044
positive,1000.0,0.6,0.0,0.3,1.967892


