k,g,s,cv,npf
100.0,0.25,0.0,0.15,1.906636
100.0,0.25,0.0,0.2,1.951976
100.0,0.25,0.0,0.25,1.998996
100.0,0.25,0.0,0.3,1.99944
100.0,0.25,0.0,0.35,1.999696
100.0,0.25,0.0,0.4,1.999828
100.0,0.25,0.0,0.45,1.99994
100.0,0.25,0.01,0.15,1.86326
100.0,0.25,0.01,0.2,1.932868
100.0,0.25,0.01,0.25,1.99868
100.0,0.25,0.01,0.3,1.999416
100.0,0.25,0.01,0.35,1.999724
100.0,0.25,0.01,0.4,1.999832
100.0,0.25,0.01,0.45,1.999896
100.0,0.25,0.1,0.15,0.874196
100.0,0.25,0.1,0.2,1.284216
100.0,0.25,0.1,0.25,1.994852
100.0,0.25,0.1,0.3,1.997788
100.0,0.25,0.1,0.35,1.999052
100.0,0.25,0.1,0.4,1.999484
100.0,0.25,0.1,0.45,1.999696
100.0,0.25,0.5,0.15,0.383388
100.0,0.25,0.5,0.2,0.391564
100.0,0.25,0.5,0.25,0.454676
100.0,0.25,0.5,0.3,0.585092
100.0,0.25,0.5,0.35,0.882392
100.0,0.25,0.5,0.4,1.377404
100.0,0.25,0.5,0.45,1.777652
100.0,0.25,1.0,0.15,0.354648
100.0,0.25,1.0,0.2,0.351452
100.0,0.25,1.0,0.25,0.364988
100.0,0.25,1.0,0.3,0.367536
100.0,0.25,1.0,0.35,0.371408
100.0,0.25,1.0,0.4,0.396844
100.0,0.25,1.0,0.45,0.450984
100.0,0.35,0.0,0.15,1.808588
100.0,0.35,0.0,0.2,1.881308
100.0,0.35,0.0,0.25,1.987756
100.0,0.35,0.0,0.3,1.992272
100.0,0.35,0.0,0.35,1.995176
100.0,0.35,0.0,0.4,1.996904
100.0,0.35,0.0,0.45,1.997684
100.0,0.35,0.01,0.15,1.753736
100.0,0.35,0.01,0.2,1.85378
100.0,0.35,0.01,0.25,1.986932
100.0,0.35,0.01,0.3,1.992184
100.0,0.35,0.01,0.35,1.994736
100.0,0.35,0.01,0.4,1.996488
100.0,0.35,0.01,0.45,1.997504
100.0,0.35,0.1,0.15,0.94478
100.0,0.35,0.1,0.2,1.255272
100.0,0.35,0.1,0.25,1.967088
100.0,0.35,0.1,0.3,1.982228
100.0,0.35,0.1,0.35,1.989544
100.0,0.35,0.1,0.4,1.993532
100.0,0.35,0.1,0.45,1.995676
100.0,0.35,0.5,0.15,0.54958
100.0,0.35,0.5,0.2,0.557716
100.0,0.35,0.5,0.25,0.612876
100.0,0.35,0.5,0.3,0.7214
100.0,0.35,0.5,0.35,0.954072
100.0,0.35,0.5,0.4,1.341312
100.0,0.35,0.5,0.45,1.706584
100.0,0.35,1.0,0.15,0.52074
100.0,0.35,1.0,0.2,0.522204
100.0,0.35,1.0,0.25,0.532844
100.0,0.35,1.0,0.3,0.535544
100.0,0.35,1.0,0.35,0.542228
100.0,0.35,1.0,0.4,0.561416
100.0,0.35,1.0,0.45,0.607116
100.0,0.45,0.0,0.15,1.69502
100.0,0.45,0.0,0.2,1.78102
