k,g,s,cv,npf
10.0,0.3,0.0,0.0,0.039138
10.0,0.3,0.0,0.01,0.039346
10.0,0.3,0.0,0.1,0.040346
10.0,0.3,0.0,0.5,0.102814
10.0,0.3,0.0,1.0,0.116114
10.0,0.3,0.01,0.0,0.038016
10.0,0.3,0.01,0.01,0.037736
10.0,0.3,0.01,0.1,0.03942
10.0,0.3,0.01,0.5,0.102416
10.0,0.3,0.01,1.0,0.115426
10.0,0.3,0.1,0.0,0.028134
10.0,0.3,0.1,0.01,0.028548
10.0,0.3,0.1,0.1,0.029692
10.0,0.3,0.1,0.5,0.089788
10.0,0.3,0.1,1.0,0.108492
10.0,0.3,0.5,0.0,0.008364
10.0,0.3,0.5,0.01,0.008558
10.0,0.3,0.5,0.1,0.00859
10.0,0.3,0.5,0.5,0.040324
10.0,0.3,0.5,1.0,0.075034
10.0,0.3,1.0,0.0,0.003448
10.0,0.3,1.0,0.01,0.003552
10.0,0.3,1.0,0.1,0.00343
10.0,0.3,1.0,0.5,0.010104
10.0,0.3,1.0,1.0,0.041468
10.0,0.5,0.0,0.0,0.123506
